seas,wk,day,v,h,ptsh,ptsv
2000,1,SUN,SF,ATL,36,28
2000,1,SUN,JAC,CLE,7,27
2000,1,SUN,PHI,DAL,14,41
2000,1,SUN,NYJ,GB,16,20
2000,1,SUN,IND,KC,14,27
2000,1,SUN,SEA,MIA,23,0
2000,1,SUN,CHI,MIN,30,27
2000,1,SUN,TB,NE,16,21
2000,1,SUN,DET,NO,10,14
2000,1,SUN,ARI,NYG,21,16
2000,1,SUN,SD,OAK,9,6
2000,1,SUN,BAL,PIT,0,16
2000,1,SUN,CAR,WAS,20,17
2000,1,SN,TEN,BUF,16,13
2000,1,MN,DEN,STL,41,36
2000,2,SUN,JAC,BAL,39,36
2000,2,SUN,GB,BUF,27,18
2000,2,SUN,CLE,CIN,7,24
2000,2,SUN,ATL,DEN,42,14
2000,2,SUN,WAS,DET,15,10
2000,2,SUN,OAK,IND,31,38
2000,2,SUN,MIA,MIN,13,7
2000,2,SUN,NYG,PHI,18,33
2000,2,SUN,NO,SD,27,28
2000,2,SUN,CAR,SF,22,38
2000,2,SUN,STL,SEA,34,37
2000,2,SUN,CHI,TB,41,0
2000,2,SUN,KC,TEN,17,14
2000,2,SN,DAL,ARI,32,31
2000,2,MN,NE,NYJ,20,19
2000,3,SUN,ATL,CAR,10,15
2000,3,SUN,NYG,CHI,7,14
2000,3,SUN,PIT,CLE,23,20
2000,3,SUN,TB,DET,10,31
2000,3,SUN,PHI,GB,6,3
2000,3,SUN,CIN,JAC,13,0
2000,3,SUN,SD,KC,42,10
2000,3,SUN,MIN,NE,13,21
2000,3,SUN,BUF,NYJ,27,14
2000,3,SUN,DEN,OAK,24,33
2000,3,SUN,NO,SEA,20,10
2000,3,SUN,SF,STL,41,24
2000,3,SN,BAL,MIA,19,6
2000,3,MN,DAL,WAS,21,27
2000,4,SUN,GB,ARI,3,29
2000,4,SUN,STL,ATL,20,41
2000,4,SUN,CIN,BAL,37,0
2000,4,SUN,DET,CHI,14,21
2000,4,SUN,SF,DAL,24,41
2000,4,SUN,KC,DEN,22,23
2000,4,SUN,NE,MIA,10,3
2000,4,SUN,PHI,NO,7,21
2000,4,SUN,CLE,OAK,36,10
2000,4,SUN,TEN,PIT,20,23
2000,4,SUN,SEA,SD,12,20
2000,4,SUN,NYJ,TB,17,21
2000,4,SN,WAS,NYG,6,16
2000,4,MN,JAC,IND,43,14
2000,5,SUN,IND,BUF,16,18
2000,5,SUN,DAL,CAR,13,16
2000,5,SUN,MIA,CIN,16,31
2000,5,SUN,BAL,CLE,0,12
2000,5,SUN,NE,DEN,19,28
2000,5,SUN,MIN,DET,24,31
2000,5,SUN,CHI,GB,24,27
2000,5,SUN,PIT,JAC,13,24
2000,5,SUN,ARI,SF,27,20
2000,5,SUN,SD,STL,57,31
2000,5,SUN,NYG,TEN,28,14
2000,5,SUN,TB,WAS,20,17
2000,5,SN,ATL,PHI,38,10
2000,5,MN,SEA,KC,24,17
2000,6,SUN,CLE,ARI,29,21
2000,6,SUN,NYG,ATL,6,13
2000,6,SUN,SEA,CAR,26,3
2000,6,SUN,NO,CHI,10,31
2000,6,SUN,TEN,CIN,14,23
2000,6,SUN,GB,DET,31,24
2000,6,SUN,BUF,MIA,22,13
2000,6,SUN,IND,NE,24,16
2000,6,SUN,PIT,NYJ,3,20
2000,6,SUN,WAS,PHI,14,17
2000,6,SUN,DEN,SD,7,21
2000,6,SUN,OAK,SF,28,34
2000,6,SN,BAL,JAC,10,15
2000,6,MN,TB,MIN,30,23
2000,7,SUN,PHI,ARI,14,33
2000,7,SUN,SD,BUF,27,24
2000,7,SUN,CLE,DEN,44,10
2000,7,SUN,SF,GB,31,28
2000,7,SUN,OAK,KC,17,20
2000,7,SUN,NYJ,NE,17,34
2000,7,SUN,CAR,NO,24,6
